title,company,city,job_type,salary,link
Django) Senior Python Developer),نوبیتکس | Nobitex,تهران، تهران,قرارداد تمام‌وقت,(حقوق توافقی),https://jobinja.ir/companies/nobitex-1/jobs/RiYt/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-django-senior-python-developer-%D8%AF%D8%B1-%D9%86%D9%88%D8%A8%DB%8C%D8%AA%DA%A9%D8%B3?_ref=16
برنامه‌نویس ارشد Django,گروه مالی دارایا | Daraya,تهران، تهران,قرارداد تمام‌وقت,"(حقوق از ۲۴,۰۰۰,۰۰۰ تومان)",https://jobinja.ir/companies/daraya/jobs/CFuf/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D9%87-%D9%86%D9%88%DB%8C%D8%B3-%D8%A7%D8%B1%D8%B4%D8%AF-django-%D8%AF%D8%B1-%DA%AF%D8%B1%D9%88%D9%87-%D9%85%D8%A7%D9%84%DB%8C-%D8%AF%D8%A7%D8%B1%D8%A7%DB%8C%D8%A7?_ref=16
Senior Software Engineer (Django),شیپ آپ | Shipup,تهران، تهران,قرارداد تمام‌وقت,"(حقوق از ۳۰,۰۰۰,۰۰۰ تومان)",https://jobinja.ir/companies/shipup/jobs/CtKd/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-senior-software-engineer-django-%D8%AF%D8%B1-%D8%B4%DB%8C%D9%BE-%D8%A2%D9%BE?_ref=16
(Python Developer (Django,پیک عصر نوین تجارت مجازی | Peyke Asre Novin Tejarate Majazi,تهران، تهران,قرارداد تمام‌وقت,"(حقوق از ۱۲,۰۰۰,۰۰۰ تومان)",https://jobinja.ir/companies/peyke-asre-novin-tejarate-majazi/jobs/CJtP/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-python-developer-django-%D8%AF%D8%B1-%D9%BE%DB%8C%DA%A9-%D8%B9%D8%B5%D8%B1-%D9%86%D9%88%DB%8C%D9%86-%D8%AA%D8%AC%D8%A7%D8%B1%D8%AA-%D9%85%D8%AC%D8%A7%D8%B2%DB%8C?_ref=16
Junior Django Developer,کارگزاری مفید | Mofid Securities,تهران، تهران,قرارداد تمام‌وقت,(حقوق توافقی),https://jobinja.ir/companies/mofid-securities/jobs/C2Qh/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-junior-django-developer-%D8%AF%D8%B1-%DA%A9%D8%A7%D8%B1%DA%AF%D8%B2%D8%A7%D8%B1%DB%8C-%D9%85%D9%81%DB%8C%D8%AF?_ref=16
Senior Python (Django) Developer,درتا | Dorta,تهران، تهران,قرارداد تمام‌وقت,(حقوق توافقی),https://jobinja.ir/companies/tetbaz/jobs/C0El/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-senior-python-django-developer-%D8%AF%D8%B1-%D8%AF%D8%B1%D8%AA%D8%A7?_ref=16
برنامه‌نویس Django,فناوران اطلاعات خبره | Fanavaran,تهران، تهران,قرارداد تمام‌وقت,(حقوق توافقی),https://jobinja.ir/companies/fanavaran-5/jobs/Ce62/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D9%87-%D9%86%D9%88%DB%8C%D8%B3-django-%D8%AF%D8%B1-%D9%81%D9%86%D8%A7%D9%88%D8%B1%D8%A7%D9%86-%D8%A7%D8%B7%D9%84%D8%A7%D8%B9%D8%A7%D8%AA-%D8%AE%D8%A8%D8%B1%D9%87?_ref=16
(Senior Back-End Developer (Django,آریاناپی | ArianaPay,تهران، تهران,قرارداد پاره‌وقت,"(حقوق از ۱۸,۰۰۰,۰۰۰ تومان)",https://jobinja.ir/companies/ariana-pay/jobs/CFdV/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-senior-back-end-developer-django-%D8%AF%D8%B1-%D8%A2%D8%B1%DB%8C%D8%A7%D9%86%D8%A7%D9%BE%DB%8C?_ref=16
(Django) Full Stack Web Developer,توسعه هوش مصنوعی ریکانت | RECONT AI,تهران، تهران,قرارداد تمام‌وقت,(حقوق توافقی),https://jobinja.ir/companies/recont-ai/jobs/CzDQ/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-django-full-stack-web-developer-%D8%AF%D8%B1-%D8%AA%D9%88%D8%B3%D8%B9%D9%87-%D9%87%D9%88%D8%B4-%D9%85%D8%B5%D9%86%D9%88%D8%B9%DB%8C-%D8%B1%DB%8C%DA%A9%D8%A7%D9%86%D8%AA?_ref=16
(Senior Back-End Developer (Django,آرتا سرمایه ایرانیان | Arta Capital,تهران، تهران,قرارداد تمام‌وقت,(حقوق توافقی),https://jobinja.ir/companies/arta-capital/jobs/R1Si/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-senior-back-end-developer-django-%D8%AF%D8%B1-%D8%A2%D8%B1%D8%AA%D8%A7-%D8%B3%D8%B1%D9%85%D8%A7%DB%8C%D9%87-%D8%A7%DB%8C%D8%B1%D8%A7%D9%86%DB%8C%D8%A7%D9%86?_ref=16
(Senior Back-End Developer (Django,ویترین | vitrin.me,تهران، تهران,قرارداد تمام‌وقت,"(حقوق از ۳۰,۰۰۰,۰۰۰ تومان)",https://jobinja.ir/companies/vitrin-me/jobs/RiKN/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-senior-back-end-developer-django-%D8%AF%D8%B1-%D9%88%DB%8C%D8%AA%D8%B1%DB%8C%D9%86?_ref=16
(Senior Back-End Developer (Django,استارت آپ هم افزا | HamAfza Startup,تهران، تهران,قرارداد تمام‌وقت,(حقوق توافقی),https://jobinja.ir/companies/startup-24/jobs/CcoD/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-senior-back-end-developer-django-%D8%AF%D8%B1-%D8%A7%D8%B3%D8%AA%D8%A7%D8%B1%D8%AA-%D8%A2%D9%BE-%D9%87%D9%85-%D8%A7%D9%81%D8%B2%D8%A7?_ref=16
برنامه‌نویس ارشد Back-End,روبیکا(واحد توسعه پشتیبانی) | Rubika,تهران، تهران,قرارداد تمام‌وقت,(حقوق توافقی),https://jobinja.ir/companies/royaye-tose-ertebatate-pouyan/jobs/CeSG/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D9%87-%D9%86%D9%88%DB%8C%D8%B3-%D8%A7%D8%B1%D8%B4%D8%AF-back-end-%D8%AF%D8%B1-%D8%B1%D9%88%D8%A8%DB%8C%DA%A9%D8%A7-%D9%88%D8%A7%D8%AD%D8%AF-%D8%AA%D9%88%D8%B3%D8%B9%D9%87-%D9%BE%D8%B4%D8%AA%DB%8C%D8%A8%D8%A7%D9%86%DB%8C?_ref=16
Senior Python Developer,تحلیلگران اطلاعات پویا بین الملل | Tahlilgaran,تهران، تهران,قرارداد تمام‌وقت,(حقوق توافقی),https://jobinja.ir/companies/tahlilgaran-1/jobs/CAT4/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-senior-python-developer-%D8%AF%D8%B1-%D8%AA%D8%AD%D9%84%DB%8C%D9%84%DA%AF%D8%B1%D8%A7%D9%86-%D8%A7%D8%B7%D9%84%D8%A7%D8%B9%D8%A7%D8%AA-%D9%BE%D9%88%DB%8C%D8%A7-%D8%A8%DB%8C%D9%86-%D8%A7%D9%84%D9%85%D9%84%D9%84?_ref=16
Senior Python Developer,کارگزاری مفید | Mofid Securities,تهران، تهران,قرارداد تمام‌وقت,(حقوق توافقی),https://jobinja.ir/companies/mofid-securities/jobs/CFaW/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-senior-python-developer-%D8%AF%D8%B1-%DA%A9%D8%A7%D8%B1%DA%AF%D8%B2%D8%A7%D8%B1%DB%8C-%D9%85%D9%81%DB%8C%D8%AF?_ref=16
برنامه‌نویس ارشد پایتون,پردازش و ذخیره سازی سریع داده (پرسا) | HPDS (High Performance Data Storage System),تهران، تهران,قرارداد تمام‌وقت,"(حقوق از ۲۰,۰۰۰,۰۰۰ تومان)",https://jobinja.ir/companies/hpds-high-performance-data-storage-system/jobs/CcmA/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D9%87-%D9%86%D9%88%DB%8C%D8%B3-%D8%A7%D8%B1%D8%B4%D8%AF-%D9%BE%D8%A7%DB%8C%D8%AA%D9%88%D9%86-%D8%AF%D8%B1-%D9%BE%D8%B1%D8%AF%D8%A7%D8%B2%D8%B4-%D9%88-%D8%B0%D8%AE%DB%8C%D8%B1%D9%87-%D8%B3%D8%A7%D8%B2%DB%8C-%D8%B3%D8%B1%DB%8C%D8%B9-%D8%AF%D8%A7%D8%AF%D9%87-%D9%BE%D8%B1%D8%B3%D8%A7?_ref=16
طراح ارشد رابط کاربری گرافیکی GUI,فیدار گستر | Fidar Gostar,تهران، تهران,قرارداد پاره‌وقت,"(حقوق از ۲۰,۰۰۰,۰۰۰ تومان)",https://jobinja.ir/companies/fidar-gostar/jobs/CJJJ/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%D8%B7%D8%B1%D8%A7%D8%AD-%D8%A7%D8%B1%D8%B4%D8%AF-%D8%B1%D8%A7%D8%A8%D8%B7-%DA%A9%D8%A7%D8%B1%D8%A8%D8%B1%DB%8C-%DA%AF%D8%B1%D8%A7%D9%81%DB%8C%DA%A9%DB%8C-gui-%D8%AF%D8%B1-%D9%81%DB%8C%D8%AF%D8%A7%D8%B1-%DA%AF%D8%B3%D8%AA%D8%B1?_ref=16
Senior Python Developer,آدلاس | ADLAS,تهران، تهران,قرارداد تمام‌وقت,(حقوق توافقی),https://jobinja.ir/companies/adlas/jobs/CzmG/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-senior-python-developer-%D8%AF%D8%B1-%D8%A2%D8%AF%D9%84%D8%A7%D8%B3?_ref=16
(Senior Back-End Developer (Python,توسعه راهکارهای توزیع شده کارا | Kara,تهران، تهران,قرارداد تمام‌وقت,(حقوق توافقی),https://jobinja.ir/companies/kara-17/jobs/CqOt/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-senior-back-end-developer-python-%D8%AF%D8%B1-%D8%AA%D9%88%D8%B3%D8%B9%D9%87-%D8%B1%D8%A7%D9%87%DA%A9%D8%A7%D8%B1%D9%87%D8%A7%DB%8C-%D8%AA%D9%88%D8%B2%DB%8C%D8%B9-%D8%B4%D8%AF%D9%87-%DA%A9%D8%A7%D8%B1%D8%A7?_ref=16
برنامه‌نویس فول استک (Full-Stack Developer),املاک سازان آکو سام | AcoSam,تهران، تهران,قرارداد تمام‌وقت,(حقوق توافقی),https://jobinja.ir/companies/acosam/jobs/CFrQ/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D9%87-%D9%86%D9%88%DB%8C%D8%B3-%D9%81%D9%88%D9%84-%D8%A7%D8%B3%D8%AA%DA%A9-full-stack-developer-%D8%AF%D8%B1-%D8%A7%D9%85%D9%84%D8%A7%DA%A9-%D8%B3%D8%A7%D8%B2%D8%A7%D9%86-%D8%A2%DA%A9%D9%88-%D8%B3%D8%A7%D9%85?_ref=16
برنامه‌نویس ارشد Python (آقا),رهپو صنعت پیشرو | Rahpoo Sanat Pishro,تهران، تهران,قرارداد تمام‌وقت,(حقوق توافقی),https://jobinja.ir/companies/rahpoo-san-at-pishro/jobs/CJ8C/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D9%87-%D9%86%D9%88%DB%8C%D8%B3-%D8%A7%D8%B1%D8%B4%D8%AF-python-%D8%A2%D9%82%D8%A7-%D8%AF%D8%B1-%D8%B1%D9%87%D9%BE%D9%88-%D8%B5%D9%86%D8%B9%D8%AA-%D9%BE%DB%8C%D8%B4%D8%B1%D9%88?_ref=16
Node.js Developer,بهينه داده پردازان رايمون | Raymon,تهران، تهران,قرارداد تمام‌وقت,"(حقوق از ۲۴,۰۰۰,۰۰۰ تومان)",https://jobinja.ir/companies/raymon-1/jobs/RaVe/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-node-js-developer-%D8%AF%D8%B1-%D8%A8%D9%87%D9%8A%D9%86%D9%87-%D8%AF%D8%A7%D8%AF%D9%87-%D9%BE%D8%B1%D8%AF%D8%A7%D8%B2%D8%A7%D9%86-%D8%B1%D8%A7%D9%8A%D9%85%D9%88%D9%86?_ref=16
Django Developer,اتصال یکپارچه | Ettesal Yekparcheh,تهران، تهران,قرارداد تمام‌وقت,(حقوق توافقی),https://jobinja.ir/companies/ettesal-yekparcheh/jobs/C05K/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-django-developer-%D8%AF%D8%B1-%D8%A7%D8%AA%D8%B5%D8%A7%D9%84-%DB%8C%DA%A9%D9%BE%D8%A7%D8%B1%DA%86%D9%87?_ref=16
برنامه‌نویس پایتون (Django),ارتباطات بارقه پردیس | Baregheh Pardis,تهران، تهران,قرارداد تمام‌وقت,"(حقوق از ۱۰,۰۰۰,۰۰۰ تومان)",https://jobinja.ir/companies/baregheh/jobs/CzSm/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D9%87-%D9%86%D9%88%DB%8C%D8%B3-%D9%BE%D8%A7%DB%8C%D8%AA%D9%88%D9%86-django-%D8%AF%D8%B1-%D8%A7%D8%B1%D8%AA%D8%A8%D8%A7%D8%B7%D8%A7%D8%AA-%D8%A8%D8%A7%D8%B1%D9%82%D9%87-%D9%BE%D8%B1%D8%AF%DB%8C%D8%B3?_ref=16
Django Developer (جنگو),بهینه سازان سرزمین هوشمند | Smart Land Optimizers,تهران، تهران,قرارداد پاره‌وقت,(حقوق توافقی),https://jobinja.ir/companies/smart-land-optimizers/jobs/Cz8n/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-django-developer-%D8%AC%D9%86%DA%AF%D9%88-%D8%AF%D8%B1-%D8%A8%D9%87%DB%8C%D9%86%D9%87-%D8%B3%D8%A7%D8%B2%D8%A7%D9%86-%D8%B3%D8%B1%D8%B2%D9%85%DB%8C%D9%86-%D9%87%D9%88%D8%B4%D9%85%D9%86%D8%AF?_ref=16
برنامه‌نویس Django,سی پل | CPOL,تهران، تهران,قرارداد تمام‌وقت,(حقوق توافقی),https://jobinja.ir/companies/cpol-2/jobs/Czus/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D9%87-%D9%86%D9%88%DB%8C%D8%B3-django-%D8%AF%D8%B1-%D8%B3%DB%8C-%D9%BE%D9%84?_ref=16
Python Developer (Django),توسعه راهکارهای هوشمند آریس | ARIS ISD,تهران، تهران,قرارداد تمام‌وقت,(حقوق توافقی),https://jobinja.ir/companies/farda-intelligent-communicationg-solution/jobs/CYW5/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-python-developer-django-%D8%AF%D8%B1-%D8%AA%D9%88%D8%B3%D8%B9%D9%87-%D8%B1%D8%A7%D9%87%DA%A9%D8%A7%D8%B1%D9%87%D8%A7%DB%8C-%D9%87%D9%88%D8%B4%D9%85%D9%86%D8%AF-%D8%A2%D8%B1%DB%8C%D8%B3?_ref=16
Django) Senior Python Developer),ایران پروموت | Iran Promote,تهران، تهران,قرارداد تمام‌وقت,"(حقوق از ۱۶,۰۰۰,۰۰۰ تومان)",https://jobinja.ir/companies/iranpromote/jobs/CzFI/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-django-senior-python-developer-%D8%AF%D8%B1-%D8%A7%DB%8C%D8%B1%D8%A7%D9%86-%D9%BE%D8%B1%D9%88%D9%85%D9%88%D8%AA?_ref=16
برنامه‌نویس (Python (Django,پژوهش نوین رایانه | PNR,تهران، تهران,قرارداد تمام‌وقت,(حقوق توافقی),https://jobinja.ir/companies/pnr/jobs/CzLL/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D9%87-%D9%86%D9%88%DB%8C%D8%B3-python-django-%D8%AF%D8%B1-%D9%BE%DA%98%D9%88%D9%87%D8%B4-%D9%86%D9%88%DB%8C%D9%86-%D8%B1%D8%A7%DB%8C%D8%A7%D9%86%D9%87?_ref=16
برنامه‌نویس Python/Django,مانا علم آریا | Kidacode,تهران، تهران,قرارداد تمام‌وقت,(حقوق توافقی),https://jobinja.ir/companies/mana-elm-aria/jobs/CJcG/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D9%87-%D9%86%D9%88%DB%8C%D8%B3-python-django-%D8%AF%D8%B1-%D9%85%D8%A7%D9%86%D8%A7-%D8%B9%D9%84%D9%85-%D8%A2%D8%B1%DB%8C%D8%A7?_ref=16
Full-Stack Developer (Django),مایکت | Myket,تهران، تهران,قرارداد تمام‌وقت,(حقوق توافقی),https://jobinja.ir/companies/myket/jobs/CJyc/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-full-stack-developer-django-%D8%AF%D8%B1-%D9%85%D8%A7%DB%8C%DA%A9%D8%AA?_ref=16
(Python Developer (Django,ایمیگو | Immigo,تهران، تهران,قرارداد تمام‌وقت,(حقوق توافقی),https://jobinja.ir/companies/immigo/jobs/C6Lr/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-python-developer-django-%D8%AF%D8%B1-%D8%A7%DB%8C%D9%85%DB%8C%DA%AF%D9%88?_ref=16
توسعه‌دهنده Django,تارنما گستر فرتاک | Tarnama Gostar Fartak,تهران، تهران,قرارداد تمام‌وقت,"(حقوق از ۶,۰۰۰,۰۰۰ تومان)",https://jobinja.ir/companies/rohamtechnology/jobs/C09f/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%D8%AA%D9%88%D8%B3%D8%B9%D9%87-%D8%AF%D9%87%D9%86%D8%AF%D9%87-django-%D8%AF%D8%B1-%D8%AA%D8%A7%D8%B1%D9%86%D9%85%D8%A7-%DA%AF%D8%B3%D8%AA%D8%B1-%D9%81%D8%B1%D8%AA%D8%A7%DA%A9?_ref=16
(Back-End Developer (Django,ریزو استودیو | Rizo,تهران، تهران,قرارداد پاره‌وقت,(حقوق توافقی),https://jobinja.ir/companies/rizo-3/jobs/C0Ll/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-back-end-developer-django-%D8%AF%D8%B1-%D8%B1%DB%8C%D8%B2%D9%88-%D8%A7%D8%B3%D8%AA%D9%88%D8%AF%DB%8C%D9%88?_ref=16
Senior Django/Python Developer,نبکا | Nebka,تهران، تهران,قرارداد تمام‌وقت,"(حقوق از ۳۵,۰۰۰,۰۰۰ تومان)",https://jobinja.ir/companies/nebka-1/jobs/CLdR/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-senior-django-python-developer-%D8%AF%D8%B1-%D9%86%D8%A8%DA%A9%D8%A7?_ref=16
Python (Django) Developer,نقش اول کیفیت | Naghsh Aval Keyfiat,تهران، تهران,قرارداد تمام‌وقت,(حقوق توافقی),https://jobinja.ir/companies/naghsh-aval-keyfiat/jobs/CLFf/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-python-django-developer-%D8%AF%D8%B1-%D9%86%D9%82%D8%B4-%D8%A7%D9%88%D9%84-%DA%A9%DB%8C%D9%81%DB%8C%D8%AA?_ref=16
(Senior Software Engineer (Django,بهترینو | Behtarino,تهران، تهران,قرارداد تمام‌وقت,"(حقوق از ۳۵,۰۰۰,۰۰۰ تومان)",https://jobinja.ir/companies/behtarino/jobs/CL0u/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-senior-software-engineer-django-%D8%AF%D8%B1-%D8%A8%D9%87%D8%AA%D8%B1%DB%8C%D9%86%D9%88?_ref=16
